path,sentence
common_voice_sw_30519925.mp3,wakatigirumi  alipokalekwa katika kwokamatakwake
common_voice_sw_29901027.mp3,licha kujuzumwa difake huwameka michacheari
common_voice_sw_30205424.mp3,tarume ondishwa hapaaikunaeza kupata madi kubwa akukukubuii
common_voice_sw_30381794.mp3,walikufakatika tipiniicho changiagani
common_voice_sw_29959535.mp3,wastani kwa zia digukomi na tago hadigiturishi ini watano
common_voice_sw_29915126.mp3,kuhusukushika mafasi ya kipambeli barani uraya aduniani kwote
common_voice_sw_30014576.mp3,bishara mafuta idesharehetabani kubwa dunia likot
common_voice_sw_29822410.mp3,ucume tanzania ulipato ukwa ji wa haraka kikidi shabia ke ishirina
common_voice_sw_29792504.mp3,bati wa wamepoa kilalamika kuwa waletengo ka mudalirifu
common_voice_sw_30345258.mp3,kupwatizako meo wanja walimbani kulomiza miole ya mashabiki
common_voice_sw_30375675.mp3,ajivutaliyotanii huifanya inea akuwa maaruta
common_voice_sw_30147270.mp3,inaya katikana njii tanza bia la keli baro vurulia
common_voice_sw_30591015.mp3,hii inaofanya wacunzania kutembe kifuambene wakeratika nchaa tanzania
common_voice_sw_28262508.mp3,sikuku yaki nadimisha ni na mwaka taria kifuchaju
common_voice_sw_30659810.mp3,kerikale limeseada bagiki mbalimbali za kutimineza mindumiaia a kula kukina maingeo hak
common_voice_sw_30062986.mp3,nibutewa vingi hua hadi pishani zana kwenye vingilia
common_voice_sw_30463898.mp3,wata wamsilumngimo ni pamoja na maeneo waziya huota wanyasi
common_voice_sw_30146059.mp3,alikuwa papa akwanza kupendelea sinagodi ndinioma
common_voice_sw_29907880.mp3,kulinara na rela ngeroto liwo na jarida mambe ya kijiashana utajili afob
common_voice_sw_31116564.mp3,wezewake cewaduli kitikeubareikika uleyee kuamezaishi
common_voice_sw_29059746.mp3,alipuwapia akifanya kazi katika kufanya maisha bora kwa wotu mawenginewa zogazi
common_voice_sw_29929251.mp3,epikalia alipozaliwa alipojina lakabasilia mpali
common_voice_sw_29859022.mp3,ego ubaraalome walishafamiliazao
common_voice_sw_30132036.mp3,pia ugali wa uganda likio ali wa kusini mashariki
common_voice_sw_31327848.mp3,hi inalengana kuponguza asininieke manimi na tana
common_voice_sw_31293146.mp3,magebayayi indachuvi mimi
common_voice_sw_29927627.mp3,tezaji nyotawagrazil zaikwa kalimara sana kipindi kicha
common_voice_sw_30123530.mp3,sikuna razalili liiponyi pujiwa jishi ya suzaniali likumbalana kikwaza kihini
common_voice_sw_30025641.mp3,bila kuzaha halasha uliowilaya rusoma na hamasha uya malispana muzumu
common_voice_sw_30167686.mp3,azika matokia uwana masafi zaidi hivimaepo kutogumamjumi
common_voice_sw_30337033.mp3,makao maku ya khema cemapinduzi ni nudoma
common_voice_sw_30045245.mp3,bahari ya chiati kopadea magarini
common_voice_sw_30256883.mp3,zaidi ya watu miloni kumi na mile nafatana walibubikishwa kufatwa na hwarana
common_voice_sw_30006584.mp3,ifazi hii inaukuwa kerometuba mlabazipatazo kelfugeni nia nane hamseni
common_voice_sw_29832252.mp3,kinaongile le nyechuma kwa zaidi ya selimia tisini tofauti na vimodo vingini
common_voice_sw_35132731.mp3,a tafita za kibemi kinakoimali kawapzani
common_voice_sw_30134196.mp3,meli za faransi azilizokamato nafarazo wenyere nzinisitakiwa na watumo waliokole walipelikwa kaiani
common_voice_sw_30110995.mp3,ifanataifa atabu manadi ma miima zaidi
common_voice_sw_30201717.mp3,waimualikujazazi ba kakini mtalo wao uifuati wanakutokuwetu tulii
common_voice_sw_30078506.mp3,umarufumgina ifanhihini bamoja na hainachau
common_voice_sw_35165191.mp3,sikuko nindimaki
common_voice_sw_35269745.mp3,utotia kwa bamadinasas u mankwa kiniikua
common_voice_sw_29833296.mp3,ballin ameshinda makwomdemaulia dunia
common_voice_sw_29905706.mp3,uyoaka miitajina la munyina uzuikama aliielekeza
common_voice_sw_37090119.mp3,wabu miligu na abumilimu pia kwozababu kaba me kutanda na wana kuweda po liyo
common_voice_sw_28584388.mp3,hata hivyoia bango vya ushirii na tika nshiniki za frianiiachini
common_voice_sw_29850289.mp3,wandifisha ati a anika akaka ssi
common_voice_sw_30059653.mp3,alikuwa mmbajiwa mzikihainaosokos
common_voice_sw_30002859.mp3,masimiki na maswita pii barinchoka na baiko m
common_voice_sw_30260923.mp3,wanamatuwa ya kuka ndani ya maine
common_voice_sw_30052042.mp3,kupene wanyakujenga mani urahapo wakuwate na kusimamia upeli kasiko kupinisha haki
common_voice_sw_34934134.mp3,kwana hakikamtuaralikuenye uala wamga kipodaliwa maa k ya pili kwa
common_voice_sw_30584725.mp3,iiza elieza wa wanakaiki yaita zanaa wada uongibuwa
common_voice_sw_30522450.mp3,wajiri ya ujekinga dili ya kuumwa namo
common_voice_sw_30193982.mp3,inawaskuma washagulali na uinga tuka bisa ya ugangi
common_voice_sw_35099334.mp3,uni likuwa ajila avianu warashere kutoka tene akirika baala halialisiawato kutambuwa
common_voice_sw_29883591.mp3,kimbuga chatatu kilitoka baari ya hinde
